Date,Year,Month,Barangay,Barangay_cases
2021-08-01,2021,8,AMBIONG,1
2021-08-01,2021,8,ANDRES BONIFACIO (LOWER BOKAWKAN),1
2021-08-01,2021,8,APUGAN-LOAKAN,1
2021-08-01,2021,8,BAYAN PARK EAST,1
2021-08-01,2021,8,BAYAN PARK WEST (BAYAN PARK),1
2021-08-01,2021,8,BROOKSPOINT,1
2021-08-01,2021,8,CABINET HILL-TEACHER'S CAMP,1
2021-08-01,2021,8,COUNTRY CLUB VILLAGE,1
2021-08-01,2021,8,CRESENCIA VILLAGE,1
2021-08-01,2021,8,"DAGSIAN, LOWER",1
2021-08-01,2021,8,"DAGSIAN, UPPER",1
2021-08-01,2021,8,DIZON SUBDIVISION,1
2021-08-01,2021,8,DOMINICAN HILL-MIRADOR,1
2021-08-01,2021,8,ENGINEERS' HILL,1
2021-08-01,2021,8,HOLY GHOST EXTENSION,1
2021-08-01,2021,8,HOLY GHOST PROPER,1
2021-08-01,2021,8,IMELDA VILLAGE,1
2021-08-01,2021,8,KABAYANIHAN,1
2021-08-01,2021,8,KAYANG EXTENSION,1
2021-08-01,2021,8,LUALHATI,1
2021-08-01,2021,8,MINES VIEW PARK,1
2021-08-01,2021,8,QUEZON HILL PROPER,1
2021-08-01,2021,8,"QUIRINO HILL, EAST",1
2021-08-01,2021,8,"SANITARY CAMP, NORTH",1
2021-08-01,2021,8,"SANITARY CAMP, SOUTH",1
2021-08-01,2021,8,SANTO ROSARIO,1
2021-08-01,2021,8,SLAUGHTER HOUSE AREA (SANTO NIÑO SLAUGHTER),1
2021-08-01,2021,8,SOUTH DRIVE,1
2021-09-01,2021,9,CAMP 7,9
2021-09-01,2021,9,BAKAKENG CENTRAL,5
2021-09-01,2021,9,IRISAN,5
2021-09-01,2021,9,KIAS,5
2021-09-01,2021,9,AMBIONG,4
2021-09-01,2021,9,ASIN ROAD,4
2021-09-01,2021,9,BAKAKENG NORTH,4
2021-09-01,2021,9,HAPPY HOMES (HAPPY HOMES-LUCBAN),4
2021-09-01,2021,9,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),3
2021-09-01,2021,9,LIWANAG-LOAKAN,3
2021-09-01,2021,9,LOAKAN PROPER,3
2021-09-01,2021,9,POLIWES,3
2021-09-01,2021,9,SAN ANTONIO VILLAGE,3
2021-09-01,2021,9,SAN VICENTE,3
